code,number,payment,lottery_sequence,rps_sequence,your_choice,your_threshold,lottery_ranks,rps_ranks,rps,lottery,mechanism_preferred
uzmsctja,31,3.2,"Even, Odd, Odd, Even, Even","Paper, Paper, Scissors, Scissors, Paper","Rock, Paper, Scissors",0.5,45,1,Top half,Bottom half,DC-5 Lottery
4rhx6b9l,55,3.2,"Even, Odd, Odd, Odd, Odd","Paper, Paper, Paper, Paper, Paper","Rock, Paper, Scissors",2.0,42,2,Top half,Top half,"Rock, Paper, Scissors"
6z07d2si,30,3.2,"Odd, Even, Even, Odd, Odd","Paper, Paper, Paper, Paper, Paper","Rock, Paper, Scissors",0.0,3,2,Top half,Top half,DC-5 Lottery
2sw8ouzn,82,3.2,"Odd, Even, Odd, Even, Odd","Paper, Paper, Paper, Paper, Paper","Rock, Paper, Scissors",1.0,20,2,Top half,Bottom half,DC-5 Lottery
hmvxlqnc,8,3.0,"Odd, Even, Odd, Odd, Odd","Paper, Rock, Scissors, Paper, Scissors","Rock, Paper, Scissors",2.0,11,5,Top half,Bottom half,DC-5 Lottery
t01w071v,99,3.0,"Even, Even, Odd, Odd, Even","Paper, Rock, Paper, Scissors, Scissors",DC-5 Lottery,1.0,16,6,Top half,Bottom half,"Rock, Paper, Scissors"
shtblvp7,48,3.2,"Even, Odd, Odd, Even, Even","Paper, Scissors, Paper, Rock, Paper","Rock, Paper, Scissors",1.0,45,7,Top half,Bottom half,"Rock, Paper, Scissors"
7pvnd79f,37,3.2,"Odd, Odd, Even, Odd, Even","Paper, Rock, Paper, Scissors, Rock","Rock, Paper, Scissors",2.0,8,8,Top half,Top half,DC-5 Lottery
yl74u5yk,18,3.2,"Odd, Odd, Odd, Even, Odd","Paper, Scissors, Rock, Scissors, Paper","Rock, Paper, Scissors",2.0,36,9,Top half,Top half,DC-5 Lottery
z6d2en35,45,3.0,"Odd, Odd, Even, Even, Odd","Paper, Rock, Paper, Scissors, Paper","Rock, Paper, Scissors",1.0,21,10,Bottom half,Bottom half,DC-5 Lottery
gixdwpkk,3,3.2,"Odd, Even, Odd, Odd, Odd","Paper, Scissors, Rock, Paper, Rock",DC-5 Lottery,1.0,11,11,Top half,Top half,"Rock, Paper, Scissors"
ujz4h94z,69,3.2,"Odd, Even, Even, Odd, Even","Paper, Rock, Scissors, Rock, Rock","Rock, Paper, Scissors",2.0,1,12,Top half,Top half,"Rock, Paper, Scissors"
eks2szv9,46,3.0,"Even, Even, Odd, Even, Even","Paper, Rock, Scissors, Rock, Rock","Rock, Paper, Scissors",0.2,31,12,Bottom half,Top half,DC-5 Lottery
7vuj1we8,93,3.0,"Odd, Odd, Odd, Even, Even","Paper, Paper, Paper, Rock, Rock","Rock, Paper, Scissors",1.0,27,14,Top half,Top half,"Rock, Paper, Scissors"
fc7kzimw,54,3.2,"Even, Odd, Odd, Even, Even","Paper, Rock, Paper, Paper, Scissors","Rock, Paper, Scissors",2.0,45,15,Top half,Top half,"Rock, Paper, Scissors"
8utbpdpz,4,3.0,"Odd, Odd, Odd, Odd, Even","Paper, Rock, Rock, Paper, Scissors","Rock, Paper, Scissors",2.0,14,16,Top half,Bottom half,"Rock, Paper, Scissors"
sra9mza5,36,3.2,"Even, Even, Odd, Odd, Even","Paper, Scissors, Rock, Paper, Scissors","Rock, Paper, Scissors",1.5,16,17,Top half,Top half,"Rock, Paper, Scissors"
kbh9swi4,95,3.0,"Even, Even, Odd, Even, Odd","Paper, Scissors, Rock, Paper, Scissors","Rock, Paper, Scissors",1.0,37,17,Bottom half,Top half,"Rock, Paper, Scissors"
a52warwr,59,3.0,"Even, Odd, Odd, Odd, Odd","Rock, Scissors, Paper, Paper, Rock",DC-5 Lottery,2.0,42,19,Bottom half,Top half,"Rock, Paper, Scissors"
f3sm3dqm,35,3.2,"Even, Odd, Odd, Even, Even","Scissors, Rock, Paper, Rock, Paper","Rock, Paper, Scissors",1.0,45,20,Top half,Top half,DC-5 Lottery
naitwkmi,6,3.0,"Even, Even, Odd, Odd, Odd","Rock, Scissors, Paper, Paper, Paper",DC-5 Lottery,2.0,30,21,Top half,Top half,"Rock, Paper, Scissors"
lz8zw4yp,19,3.2,"Even, Odd, Even, Odd, Even","Scissors, Rock, Paper, Rock, Scissors","Rock, Paper, Scissors",1.0,19,22,Top half,Bottom half,DC-5 Lottery
6y1ot5iv,78,3.2,"Even, Even, Odd, Even, Even","Scissors, Rock, Rock, Paper, Scissors",DC-5 Lottery,2.0,31,23,Bottom half,Bottom half,DC-5 Lottery
dk4uc4v8,98,3.0,"Even, Even, Odd, Even, Odd","Paper, Rock, Scissors, Scissors, Rock","Rock, Paper, Scissors",2.0,37,24,Top half,Top half,DC-5 Lottery
qyha05o0,43,3.2,"Even, Odd, Odd, Odd, Even","Rock, Scissors, Paper, Rock, Paper","Rock, Paper, Scissors",2.0,35,25,Top half,Bottom half,DC-5 Lottery
frt3spvv,51,1.0,"Odd, Odd, Odd, Odd, Odd","Paper, Scissors, Rock, Rock, Rock","Rock, Paper, Scissors",1.0,22,26,Top half,Top half,"Rock, Paper, Scissors"
p7tczmjt,97,1.0,"Even, Odd, Odd, Even, Odd","Rock, Paper, Paper, Scissors, Rock","Rock, Paper, Scissors",1.0,49,27,Bottom half,Top half,DC-5 Lottery
mj471cz8,44,1.0,"Even, Even, Even, Even, Odd","Paper, Paper, Rock, Paper, Rock",DC-5 Lottery,2.0,29,28,Top half,Top half,DC-5 Lottery
9zzwlm0u,41,1.0,"Even, Even, Odd, Even, Odd","Rock, Scissors, Rock, Paper, Paper","Rock, Paper, Scissors",2.0,37,29,Top half,Top half,DC-5 Lottery
5lwgbf18,50,1.2,"Even, Even, Odd, Odd, Even","Rock, Paper, Rock, Scissors, Paper","Rock, Paper, Scissors",1.0,16,30,Top half,Top half,"Rock, Paper, Scissors"
ipalory5,13,1.0,"Odd, Odd, Odd, Odd, Odd","Rock, Paper, Rock, Scissors, Paper","Rock, Paper, Scissors",1.0,22,30,Top half,Bottom half,"Rock, Paper, Scissors"
t0yhzaq1,21,1.0,"Odd, Even, Even, Even, Even","Rock, Paper, Rock, Scissors, Paper","Rock, Paper, Scissors",2.0,5,30,Top half,Bottom half,"Rock, Paper, Scissors"
3qp4r5iv,60,1.0,"Odd, Even, Even, Even, Odd","Rock, Rock, Paper, Scissors, Rock","Rock, Paper, Scissors",0.75,10,33,Bottom half,Bottom half,DC-5 Lottery
o8ku48l6,17,1.0,"Even, Even, Odd, Even, Odd","Rock, Rock, Paper, Scissors, Rock","Rock, Paper, Scissors",1.5,37,33,Top half,Top half,DC-5 Lottery
25ztirtl,1,1.0,"Even, Odd, Even, Odd, Odd","Paper, Scissors, Rock, Rock, Scissors","Rock, Paper, Scissors",1.0,33,35,Top half,Top half,DC-5 Lottery
