code,number,payment,lottery_sequence,time_sequence,your_choice,your_threshold,lottery_ranks,time_ranks,time,lottery,mechanism_preferred
gf98qtn3,87,3.2,"Even, Odd, Even, Odd, Even","6, 5, 0, 1, 4",DC-5 Lottery,0.5,21,1,Bottom half,Top half,DC-5 Lottery
6gud2xty,61,3.0,"Odd, Odd, Odd, Odd, Even","0, 1, 1, 3, 0",DC-5 Lottery,2.0,14,2,Top half,Bottom half,DC-5 Lottery
wa25a0ie,29,3.0,"Odd, Even, Even, Even, Even","2, 2, 4, 2, 4",DC-5 Lottery,2.0,3,3,Bottom half,Bottom half,Time
va6r87uc,14,3.2,"Even, Odd, Even, Odd, Even","3, 1, 7, 5, 9",Time,1.0,21,4,Top half,Bottom half,Time
2xh7eo6b,11,3.0,"Even, Odd, Odd, Even, Odd","5, 0, 1, 2, 7",Time,2.0,48,4,Top half,Top half,Time
r3i9g3ry,12,3.2,"Even, Odd, Even, Odd, Even","2, 2, 7, 4, 6",DC-5 Lottery,1.2,21,6,Top half,Top half,DC-5 Lottery
mk77oml8,52,3.2,"Odd, Odd, Even, Odd, Even","8, 4, 9, 0, 1",Time,2.0,6,6,Bottom half,Top half,Time
d7ahvo43,40,3.0,"Even, Odd, Odd, Even, Odd","0, 0, 7, 1, 4",DC-5 Lottery,1.0,48,8,Top half,Top half,Time
gvwthw84,81,3.0,"Odd, Even, Odd, Even, Odd","5, 1, 7, 4, 5",DC-5 Lottery,2.0,24,8,Bottom half,Bottom half,Time
nctt8nyl,2,3.0,"Even, Odd, Even, Odd, Odd","2, 0, 5, 1, 1",DC-5 Lottery,2.0,39,8,Bottom half,Top half,Time
4k6xpra1,86,3.2,"Even, Odd, Even, Even, Odd","1, 2, 0, 3, 5",DC-5 Lottery,1.0,44,11,Top half,Top half,DC-5 Lottery
c0rkmmri,83,3.2,"Odd, Even, Even, Odd, Even","1, 1, 1, 1, 1",Time,1.0,1,11,Top half,Top half,Time
fp7zibsh,53,3.2,"Even, Odd, Odd, Even, Odd","8, 0, 4, 4, 4",Time,0.5,48,13,Top half,Top half,DC-5 Lottery
tw2ud312,24,3.0,"Odd, Odd, Odd, Even, Odd","3, 4, 5, 2, 0",Time,2.0,40,13,Top half,Top half,DC-5 Lottery
ptr2eqdh,73,3.2,"Even, Even, Even, Odd, Even","1, 0, 4, 5, 3",Time,1.5,10,15,Top half,Top half,DC-5 Lottery
