participant_code,participant_cost,payoff,USD_payoff,participant_mechanism,procedure1,procedure2,allocating_procedure,wta_Market,lulu_Market,lulu_compensation,lulu_collective_payoff,lulu_private_payoff,belief_payoff,comprehension_payoff,lottery_payoff,lulu_Market_expect,comprehension_question
lypkb5ju,1,181.0,3.62,Lottery,Lottery,Market,Market,5,true,42.0,24.0,10,0,0,30,true,wta_Market_expect
0sh9ccdz,0,221.0,4.42,Market,Lottery,Market,Market,36,true,42.0,24.0,10,20,20,30,false,wta_Market_expect
0sh9ccdz,0,221.0,4.42,Market,Lottery,Market,Market,36,true,42.0,24.0,10,20,20,30,false,wta_Market_expect
0sh9ccdz,0,221.0,4.42,Market,Lottery,Market,Market,36,true,42.0,24.0,10,20,20,30,false,wta_Market_expect
b99uwjfh,0,221.0,4.42,Market,Lottery,Market,Market,42,true,42.0,24.0,10,20,20,30,false,wta_Market_expect
511chdxd,0,219.0,4.38,Lottery,Lottery,Market,Market,45,false,0.0,24.0,90,0,0,30,false,wta_Market_expect
b99uwjfh,0,221.0,4.42,Market,Lottery,Market,Market,42,true,42.0,24.0,10,20,20,30,false,wta_Market_expect
0sh9ccdz,0,221.0,4.42,Market,Lottery,Market,Market,36,true,42.0,24.0,10,20,20,30,false,wta_Market_expect
b99uwjfh,0,259.0,5.18,Market,Lottery,Market,Market,42,false,0.0,24.0,90,20,20,30,false,wta_Market_expect
511chdxd,0,219.0,4.38,Lottery,Lottery,Market,Market,45,false,0.0,24.0,90,0,0,30,false,wta_Market_expect
b99uwjfh,0,221.0,4.42,Market,Lottery,Market,Market,42,true,42.0,24.0,10,20,20,30,false,wta_Market_expect
b99uwjfh,0,221.0,4.42,Market,Lottery,Market,Market,42,true,42.0,24.0,10,20,20,30,false,wta_Market_expect
0sh9ccdz,0,221.0,4.42,Market,Lottery,Market,Market,36,true,42.0,24.0,10,20,20,30,false,wta_Market_expect
b99uwjfh,0,221.0,4.42,Market,Lottery,Market,Market,42,true,42.0,24.0,10,20,20,30,false,wta_Market_expect
b99uwjfh,0,259.0,5.18,Market,Lottery,Market,Market,42,false,0.0,24.0,90,20,20,30,false,wta_Market_expect
